C00001	O
C00315	[NH3+]CCCC[NH2+]CCC[NH3+]
C00317	OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](OC[C@H]3O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00318	C[N+](C)(C)C[C@H](O)CC(=O)[O-]
C00319	CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H]([NH3+])CO
C00320	O=S(=O)([O-])S
C00322	O=C([O-])CCCC(=O)C(=O)[O-]
C00323	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccc(O)c(O)c1
C00324	N#C[Fe-3](C#N)(C#N)(C#N)(C#N)C#N
C00325	C[C@@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O
C00327	NC(=O)NCCC[C@H]([NH3+])C(=O)[O-]
C00328	Nc1ccccc1C(=O)C[C@H]([NH3+])C(=O)[O-]
C00329	[NH3+][C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
C00330	Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1
C00331	O=C([O-])C(=O)Cc1c[nH]c2ccccc12
C00332	CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
C00333	O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
C00334	[NH3+]CCCC(=O)[O-]
C00337	O=C1C[C@@H](C(=O)[O-])NC(=O)N1
C00339	*CO
C00341	CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])O
C00342	*N[C@@H](CS)C(=O)N[C@@H](*)C(=O)N[C@@H](*)C(=O)N[C@@H](CS)C(*)=O
C00343	*N[C@H]1CSSC[C@@H](C(*)=O)NC(=O)[C@H](*)NC(=O)[C@H](*)NC1=O
C00344	*C(=O)OC[C@H](COP(=O)([O-])OC[C@@H](O)CO)OC(*)=O
C00345	O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
C00346	[NH3+]CCOP(=O)([O-])[O-]
C00347	*CCC(=O)[O-]
C00348	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])[O-]
C00349	CC(C=O)C(=O)[O-]
C00350	*C(=O)OCC(COP(=O)([O-])OCC[NH3+])OC(*)=O
C00351	*[C@H]1C[C@H](OP(=O)([O-])[O-])[C@@H](COP(=O)([O-])O[C@H]2C[C@H](*)O[C@@H]2COP(=O)([O-])O[C@H]2C[C@H](*)O[C@@H]2COP(=O)([O-])[O-])O1
C00352	[NH3+][C@H]1C(O)O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O
C00353	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])O
C00354	O=P([O-])([O-])OC[C@H]1OC(O)(COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O
C00355	[NH3+][C@@H](Cc1ccc(O)c(O)c1)C(=O)[O-]
C00356	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@](C)(O)CC(=O)[O-]
C00357	CC(=O)N[C@H]1C(O)O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O
C00360	Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])[O-])O1
C00361	Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O)O2)c(=O)[nH]1
C00362	Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]1
C00363	Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O)O2)c(=O)[nH]c1=O
C00364	Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]c1=O
C00365	O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]1
C00366	O=c1nc2[n-]c(O)nc(O)c-2[nH]1
C00369	*O[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](*)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
C00370	OC1CCC2C(CCC3C4CCCC4CCC23)C1
C00371	CC(=CCNc1ncnc2nc[nH]c12)CO
C00372	*OC[C@H]1O[C@H](OC[C@H]2OC(*)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00373	CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)NCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)NC)C(C)C
C00374	*O[C@H]1[C@H](O)[C@@H](OS(=O)(=O)[O-])[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](C(=O)[O-])O[C@@H](O[C@@H]4[C@@H](COS(=O)(=O)[O-])OC(*)[C@H](NC(C)=O)[C@H]4O)[C@H](OS(=O)(=O)[O-])[C@H]3O)[C@H](NS(=O)(=O)[O-])[C@H]2OS(=O)(=O)[O-])O[C@H]1C(=O)[O-]
C00375	*C[NH3+]
C00376	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1
C00378	Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
C00379	OC[C@H](O)[C@@H](O)[C@H](O)CO
C00380	Nc1cc[nH]c(=O)n1
C00381	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CCC(C)CCO
C00383	O=C([O-])CC(=O)[O-]
C00384	*[C@H]1[C@H](O[C@H]2O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]2[NH3+])[C@@H]([NH3+])C[C@@H]([NH3+])[C@@H]1O
C00385	O=c1[nH]c(=O)c2nc[nH]c2[nH]1
C00386	[NH3+]CCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)[O-]
C00387	Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00388	[NH3+]CCc1c[nH]cn1
C00389	[O-]c1cc2[oH+]c(-c3ccc(O)c(O)c3)c([O-])c([O-])c-2c(=[OH+])c1
C00390	COc1c(O)c(C)c(C/C=C(\C)CCC=C(C)C)c(O)c1OC
C00392	OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
C00394	Nc1nc2c(ncn2C2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00395	*C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S[C@H]12
C00396	c1cncnc1
C00397	[NH3+]C[C@H]1O[C@H](O[C@@H]2[C@@H]([NH3+])C[C@@H]([NH3+])[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]2O)[C@H]([NH3+])C[C@@H]1O
C00398	[NH3+]CCc1c[nH]c2ccccc12
C00399	COC1=C(OC)C(=O)C(C)C(=CC=C(C)CCC=C(C)C)C1=O
C00400	CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
C00401	*O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O[C@@H]2O[C@H](C(=O)[O-])[C@@H](*)[C@H](O)[C@H]2O)[C@H]1NC(C)=O
C00402	[NH3+][C@H](CC(=O)[O-])C(=O)[O-]
C00403	*C([NH3+])C(=O)NC(*)C(=O)NC(*)C(=O)[O-]
C00404	O=P([O-])(O)OP(=O)([O-])OP(=O)([O-])O
C00405	*[C@@H]([NH3+])C(=O)[O-]
C00406	COc1cc(/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)([O-])[O-])ccc1O
C00407	CC[C@H](C)[C@H]([NH3+])C(=O)[O-]
C00408	O=C([O-])[C@@H]1CCCC[NH2+]1
C00409	CS
C00410	CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
C00411	COc1cc(/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)([O-])[O-])cc(OC)c1O
C00412	CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
C00413	C[NH2+][C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](NC(N)=[NH2+])[C@H](O)[C@@H](NC(N)=[NH2+])[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O
C00414	O=C1CCCCC1
C00415	Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2
C00416	*C(=O)OCC(COP(=O)([O-])[O-])OC(*)=O
C00417	O=C([O-])/C=C(/CC(=O)[O-])C(=O)[O-]
C00418	C[C@@](O)(CCO)CC(=O)[O-]
C00419	*[C@@H]1O[C@H](COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2CO)[C@@H](O)[C@H]1O
C00420	OCC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O
C00422	*C(=O)OCC(COC(*)=O)OC(*)=O
C00423	O=C([O-])/C=C/c1ccccc1
C00424	C[C@H](O)C=O
C00426	*OC[C@H]1O[C@@H](*)[C@H](NC(C)=O)[C@@H](O[C@@H]2O[C@@H](C(=O)[O-])[C@@H](O*)[C@H](O)[C@H]2O*)[C@H]1O*
C00427	CCCCC[C@H](O)/C=C/[C@H]1[C@H]2C[C@H](OO2)[C@@H]1C/C=C\CCCC(=O)[O-]
C00429	O=C1CCNC(=O)N1
C00430	[NH3+]CC(=O)CCC(=O)[O-]
C00431	[NH3+]CCCCC(=O)[O-]
C00433	O=CCCC(=O)C(=O)[O-]
C00434	*[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])O[C@H]2C[C@H](*)O[C@@H]2COP(=O)([O-])O[C@H]2C[C@H](*)O[C@@H]2CO)O1.*[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])O[C@H]2C[C@H](*)O[C@@H]2COP(=O)([O-])O[C@H]2C[C@H](*)O[C@@H]2CO)O1
C00436	NC(=O)NCCCC[NH3+]
C00437	CC(=O)N[C@@H](CCC[NH3+])C(=O)[O-]
C00438	NC(=O)N[C@@H](CC(=O)[O-])C(=O)[O-]
C00439	[NH2+]=CN[C@@H](CCC(=O)[O-])C(=O)[O-]
C00440	CN1c2c(nc(N)[nH]c2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1
C00441	[NH3+][C@@H](CC=O)C(=O)[O-]
C00444	*[C@@H]1O[C@H](COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O
C00445	Nc1nc2c(c(=O)[nH]1)N1C=[N+](c3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)CC1CN2
C00446	O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
C00447	O=C(COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
C00448	CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])O
C00449	[NH3+][C@@H](CCCC[NH2+][C@@H](CCC(=O)[O-])C(=O)[O-])C(=O)[O-]
C00450	O=C([O-])[C@@H]1CCCC=N1
C00451	O=C([O-])C[C@H](C(=O)[O-])[C@@H](O)C(=O)[O-]
C00454	*[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O
C00455	NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1
C00458	Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O2)c(=O)n1
C00459	Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O2)c(=O)[nH]c1=O
C00460	O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O2)c(=O)[nH]1
C00461	*O[C@@H]1[C@@H](CO)OC(*)[C@H](NC(C)=O)[C@H]1O
C00462	*
C00463	c1ccc2[nH]ccc2c1
C00466	CC(=O)C(C)O
C00468	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
C00469	CCO
C00470	O=C([O-])[C@H]1O[C@H](O[C@H]2[C@@H](C(=O)[O-])O[C@H](O[C@H]3[C@@H](C(=O)[O-])OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
C00472	O=C1C=CC(=O)C=C1
C00473	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1
C00474	OC[C@H](O)[C@H](O)[C@H](O)CO
C00475	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
C00476	OC1OC[C@@H](O)[C@H](O)[C@@H]1O
C00477	C[C@H]([C@H](O)CCC(C)(C)O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C
C00478	O=C1CO[C@@H](CO)[C@H](O)[C@H]1O
C00479	CCC=O
C00480	*C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@H](OC[C@H]4O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O*)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@@H](O)[C@@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00481	c1cn[nH]c1
C00482	COc1cc(/C=C/C(=O)[O-])cc(OC)c1O
C00483	[NH3+]CCc1ccc(O)cc1
C00484	*C(=O)Nc1ccccc1
C00486	C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)[O-])c(CCC(=O)[O-])c2C)NC1=O
C00487	C[N+](C)(C)CC(O)CC(=O)[O-]
C00488	NC=O
C00489	O=C([O-])CCCC(=O)[O-]
C00490	C=C(CC(=O)[O-])C(=O)[O-]
C00491	[NH3+][C@@H](CSSC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]
C00492	OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
C00493	O=C([O-])C1=C[C@@H](O)[C@@H](O)[C@H](O)C1
C00494	C[NH2+][C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(C[NH3+])=CC[C@H]3[NH3+])[C@@H]([NH3+])C[C@H]2[NH3+])OC[C@]1(C)O
C00495	COC(=O)c1cc(O)cc(OC)c1C(=O)c1c(O)cc(C)cc1O
C00497	O=C([O-])C[C@@H](O)C(=O)[O-]
C00498	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O
C00499	NC(=O)NC(NC(N)=O)C(=O)[O-]
C00500	C=CC1=C(C)/C(=C/C2=N/C(=C\c3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)[O-])C(CCC(=O)[O-])=C2C)NC1=O
C00501	Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)n1
C00502	O=C([O-])[C@H](O)[C@@H](O)[C@H](O)CO
C00503	OC[C@H](O)[C@H](O)CO
C00504	Nc1nc2ncc(CNc3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)nc2c(=O)[nH]1
C00506	[NH3+][C@@H](CS(=O)(=O)[O-])C(=O)[O-]
C00507	C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O
C00508	OCC1(O)OC[C@H](O)[C@@H]1O
C00509	O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21
C00510	CCCCCCCC/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
C00511	C=CC(=O)[O-]
C00512	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1ccccc1
C00513	Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OCC(O)CO)[C@@H](O)[C@H]2O)c(=O)n1
C00514	O=C([O-])[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
C00515	[NH3+]CCC[C@@H]([NH3+])C(=O)[O-]
C00517	CCCCCCCCCCCCCCCC=O
C00518	*O[C@@H]1O[C@H](C(=O)[O-])C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O*)[C@H]2NC(C)=O)[C@H](O)[C@H]1O
C00519	[NH3+]CCS(=O)[O-]
C00521	C=C(C)[C@@H]1CC=C(C)CC1
C00522	CC(C)(CO)[C@@H](O)C(=O)[O-]
C00523	C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@@]43C)[C@@H]1CCC2=O
C00524	*NC(=O)[C@H](CSC(C)C1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe]n1/c(c(C)c(C(C)SC[C@H](NC(*)=O)C(=O)N*)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C)NC(*)=O
C00525	[NH3+][C@H](Cc1c[nH]c2ccccc12)C(=O)[O-]
C00526	O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1
C00527	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCC(=O)[O-]
C00528	CC[NH2+][C@H]1C(O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H]1OC(C)C(=O)N[C@H](C)C(=O)N[C@H](CCC(=O)N[C@H](CCCC[NH3+])C(=O)N[C@@H](C)C(=O)[O-])C(N)=O
C00530	Oc1ccc(O)cc1
C00531	C=C(CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])C(=O)[O-]
C00532	OC[C@H](O)C(O)[C@@H](O)CO
C00533	[N]=O
C00534	Cc1ncc(CO)c(C[NH3+])c1O
C00535	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
C00536	O=P([O-])(O)OP(=O)([O-])OP(=O)([O-])O
C00538	*C(=O)C=O
C00539	O=C([O-])c1ccccc1
C00540	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccccc1
C00541	C/C1=C2/[NH+]=C(/C=C3\[NH+]=C(/C(C)=C4\N([Co+])C([C@H](CC(N)=O)[C@@]4(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]4[C@@H](CO)O[C@H](n5cnc6cc(C)c(C)cc65)[C@@H]4O)[C@]4(C)[NH+]=C1[C@@H](CCC(N)=O)[C@]4(C)CC(N)=O)[C@@H](CCC(N)=O)C3(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O
C00542	[NH3+]C(CCSCC([NH3+])C(=O)[O-])C(=O)[O-]
C00543	C[NH2+]C
C00544	O=C([O-])Cc1cc(O)ccc1O
C00545	O=C([O-])[C@H](O)[C@@H](O)[C@@H](O)CO
C00546	CC(=O)C=O
C00547	[NH3+]C[C@H](O)c1ccc(O)c(O)c1
C00548	CC(=O)Oc1ccccc1
C00549	O=c1ccn([C@@H]2O[C@H](CO)C(OP(=O)([O-])OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)C3OP(=O)([O-])OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)[C@H]2O)c(=O)[nH]1
C00550	*C(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](O)/C=C/CCCCCCCCCCCCC
C00551	OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
C00552	O=C([O-])[C@@H](O)[C@@H](O)C(=O)[O-]
C00553	CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1O
C00555	[NH3+]CCCC=O
C00556	OCc1ccccc1
C00557	O=C1CCCC1
C00558	O=C([O-])[C@H]1OC(O)(CO)[C@@H](O)[C@H]1O
C00559	Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
C00561	N#C[C@H](O)c1ccccc1
C00563	CC(C)C[C@H](NP(=O)([O-])O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-]
C00565	C[NH+](C)C
C00566	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(O)(CC(=O)[O-])C(=O)[O-]
C00568	Nc1ccc(C(=O)[O-])cc1
C00570	Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OCC[NH3+])[C@@H](O)[C@H]2O)c(=O)n1
C00571	[NH3+]C1CCCCC1
C00573	*O[C@@H]1[C@@H](O)[C@H](O[C@@H]2[C@@H](COS(=O)(=O)[O-])O[C@@H](O[C@H]3[C@@H](O)[C@@H](CO)O[C@@H](O[C@@H]4[C@@H](COS(=O)(=O)[O-])O[C@@H](*)[C@H](NC(C)=O)[C@H]4O)[C@@H]3O)[C@H](NC(C)=O)[C@H]2O)O[C@H](COS(=O)(=O)[O-])[C@@H]1O
C00574	*O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O
C00575	Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)([O-])O[C@H]2[C@H]1O
C00576	C[N+](C)(C)CC=O
C00577	O=C[C@H](O)CO
C00579	NC(=O)CCCCC(S)CCS
C00580	CSC
C00581	NC(=[NH2+])NCC(=O)[O-]
C00582	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)Cc1ccccc1
C00583	CC(O)CO
C00584	CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)[O-]
C00585	*NC(=O)[C@H](Cc1ccc(O)cc1)NC(*)=O
C00586	OC[C@H]1OC(O)C[C@@H](O)[C@@H]1O
C00587	O=C([O-])c1cccc(O)c1
C00588	C[N+](C)(C)CCOP(=O)([O-])[O-]
C00590	COc1cc(/C=C/CO)ccc1O
C00591	*C(=O)N[C@@H]1[C@@H](O)CC(O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)CO
C00593	O=CCS(=O)(=O)[O-]
C00596	CC=CC(=O)C(=O)[O-]
C00597	O=C([O-])C(O)COP(=O)([O-])[O-]
C00599	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
C00601	O=CCc1ccccc1
C00602	*O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
C00603	NC(=O)N[C@@H](O)C(=O)[O-]
C00604	c1cnc2c(c1)ccc1cccnc12
C00605	*/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
C00606	[NH3+][C@@H](CS(=O)[O-])C(=O)[O-]
C00607	*OC[C@H]1O[C@@H](*)[C@H](NC(C)=O)[C@@H](O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O*)[C@H](O)[C@H]2O*)[C@H]1O*
C00608	*[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])[O-])O1
C00609	*CCC=O
C00611	CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H]1O
C00612	CC(=O)NCCC[NH2+]CCCC[NH3+]
C00613	*NC(=O)[C@H](CCCNC(N)=[NH2+])NC(*)=O
C00614	*NC(=O)[C@H](CCC(=O)[O-])NC(*)=O
C00615	*NC(=O)[C@H](Cc1c[nH]cn1)NC(*)=O
