CHEBI_133979	OCYWGBZEVKVWBQ-PQGWWSFGSA-N
CHEBI_133985	JDSRHVWSAMTSSN-PIHGWCCBSA-M
CHEBI_133987	UYQGVDXDXBAABN-YVCRHRKHSA-M
CHEBI_133989	RYAKCZURVOCRAI-JZTOSSBESA-M
CHEBI_133991	MFVHQYMRUDEPIO-NYOLHIHQSA-M
CHEBI_133992	HPFXACZRFJDURI-KTKRTIGZSA-M
CHEBI_133993	SDLILULALIDNSO-UHFFFAOYSA-O
CHEBI_133995	VEXDOCFQMVMPHJ-HOTGVXAUSA-O
CHEBI_133996	VEXDOCFQMVMPHJ-HZPDHXFCSA-O
CHEBI_134001	YJYUDTAJVLORNV-UHFFFAOYSA-O
CHEBI_134020	UWKNPULCJWBBDD-JRUKXMRZSA-M
CHEBI_134022	YHLNAFGXMQKMQX-CYPURTGSSA-M
CHEBI_134031	MBDKGXAMSZIDKF-VJIACCKLSA-M
CHEBI_134033	ZHVSXWCIYWYBQP-QJRAZLAKSA-M
CHEBI_134035	UMOAAMQGRRCHPA-GJCOWUBNSA-M
