cpd04474	C21H27NO4	C21H28NO4
cpd04475	C19H21NO4	C19H22NO4
cpd04476	C20H23NO4	C20H24NO4
cpd09309	C6H11N2O2Br	C6H11BrN2O2
cpd01685	C6OCl5	C6Cl5O
cpd00779	C9H9NO3I2	C9H9I2NO3
cpd01687	C29H39N7O18P3S	C29H38N7O18P3S
cpd06653	C31H23O12	C31H24O12
cpd11812	C24H36N7O18P3RS	C24H39N7O18P3RS
cpd11813	C24H34N7O17P3RS	C24H37N7O17P3RS
cpd02201	C9H16NO8P	C9H15NO8P
cpd11818	HO4PR	H2O4PR
cpd09304	Br	C17H22BrNOS2
cpd09306	C12H18NOCl	C12H19Cl2NO
cpd04875	C4H10NO7P2	C4H12NO7P2
cpd00956	C12H14NO9P	C12H13NO9P
cpd02203	C4H10O7P	C4H9O7P
cpd10564	C2HOCl3	C2HCl3O
cpd08165	Cl	C21H40ClNO
cpd04878	C10H11N2O5S	C10H12N2O5S
cpd04879	C15H14N3O4S2F3	C15H14F3N3O4S2
cpd11490	C19H33N2O9PRS	C8H13O2RS
cpd11491	C25H45N2O9PRS	C14H25O2RS
cpd11492	C14H22N2O10PRS	C3H3O3RS
cpd11493	C11H21N2O7PRS	HRS
cpd11494	C13H23N2O8PRS	C2H3ORS
cpd08498	C2H5N	C2H6N
cpd01175	C3H5NO5P	C3H6NO5P
cpd00481	C25H39N7O17P3S	C25H38N7O17P3S
cpd08497	C8H11N3O2Cl2	C8H11Cl2N3O2
cpd10653	C21H29O3Cl	C21H29ClO3
cpd00482	C3H5O7P	C3H4O7P
cpd00485	C6H12O9P	C6H11O9P
cpd10654	C19H31NO	C19H32NO
cpd00487	C3H4O2R	C3H5O2R
cpd10386	C4H8OCl2	C4H8Cl2O
cpd01773	C6H6O4P	C6H5O4P
cpd01775	C15H21N5O20P4	C15H20N5O20P4
cpd09782	C32H22N6O6S2	C32H22N6Na2O6S2
cpd11708	C14H21NO14S*2	noformula
cpd05569	C32H43NO12	C33H46NO12
cpd11255	C6H9O3S	C6H10O3S
cpd11250	C15H14O2	C15H12O5R2
cpd05610	C36H51NO12	C36H52NO12
cpd04978	C21H29NO	C21H30NO
cpd02751	C6H12O18P4	C6H8O18P4
cpd01518	C28H38N8O17P3S	C28H37N8O17P3S
cpd18030	C18H26N5O6SR2	C18H26N5O6R2S
cpd12104	C10H16N3O4R2	C8H15N2O3R(C2H2NOR)n
cpd11925	C6H10O5*2	(C6H10O5)n
cpd01196	C17H17NO3	C17H18NO3
cpd08534	C22H29N4O3Cl	C22H29ClN4O3
cpd04908	C27H30O6Cl2	C27H30Cl2O6
cpd05450	C18H15N2O8	C18H16N2O8
cpd04916	C7H9OCl	C7H9ClO
cpd05455	C14H15N2O7	C14H16N2O7
cpd18018	C17H26N2O14P2	C17H24N2O14P2
cpd18017	C18H31N3O12P2	C18H30N3O12P2
cpd18016	C16H27N3O12P2	C16H26N3O12P2
cpd04902	C24H25NO4	C24H26NO4
cpd18014	C18H31N3O13P2	C18H30N3O13P2
cpd04904	C28H37O7Cl	C28H37ClO7
cpd04905	C16H21NO3	C16H22NO3
cpd04906	C22H28O4SF2	C22H27F3O4S
cpd04907	C22H28O4Cl2	C22H28Cl2O4
cpd17706	C21H41N5O12	C21H45N5O12
cpd17707	C21H41N5O12	C21H45N5O12
cpd17704	C12H23N3O7	C12H26N3O7
cpd17705	C17H34N4O10	C17H38N4O10
cpd17702	C6H11NO4	C6H12NO4
cpd17703	C14H27N3O8	C14H29N3O8
cpd17701	C6H13NO4	C6H14NO4
cpd10035	C3H5ClBr2	C3H5Br2Cl
cpd10037	C6NO2Cl5	C6Cl5NO2
cpd10821	C21H29O2F	C21H29FO2
cpd10030	C7H7OCl	C7H7ClO
cpd17708	C25H47N5O15	C25H51N5O15
cpd17709	C23H45N5O14	C23H50N5O14
cpd08024	CH3ClHg	CH2.ClH.Hg
cpd01510	C6H4NO4	C6H5NO4
cpd05058	C16H13N2OSCl3	C16H13Cl3N2OS
cpd17404	C8H14O5S	C8H12O5S
cpd05055	C18H15N2SCl3	C18H15Cl3N2S
cpd05054	C18H14N4O4Cl4	C18H14Cl4N4O4
cpd05057	C26H31N5O3Cl2	C26H32Cl2N5O3
cpd05051	C21H21N	C21H22ClN
cpd01519	C41H63N7O17P3S	C41H62N7O17P3S
cpd05053	C18H13N3OCl4	C18H13Cl4N3O
cpd17406	C7H12O3S	C7H11O3S
cpd15818	C46H94O9P	C46H94O9P1
cpd17445	C11H21NO9S2	C11H20NO9S2
cpd06508	C18H17NO3	C18H18NO3
cpd15297	C45H79N7O17P3S	C45H78N7O17P3S
cpd06506	C19H21NO3	C19H22NO3
cpd06507	C28H36N2O4	C28H37N2O4
cpd06504	C45H65N3O6	C45H68N3O6
cpd01225	C51H85N7O16	C51H82N8O17
cpd14464		noformula
cpd07852	C19H20N3F	C19H21FN3
cpd07803	C14H17NO2	C14H18NO2
cpd07851	C17H19N2OSCl	C17H19ClN2OS
cpd08827	C72H71N8O23Cl3	C72H72Cl3N8O23
cpd08826	C79H85N9O24Cl3	C79H85Cl3N9O24
cpd08825	C86H99N10O26Cl3	C86H99Cl3N10O26
cpd17150	C15H28O7P2	C15H26O7P2
cpd08823	C35H36N2O11Cl	C35H36ClN2O11
