# cache=data/modelseed_cache_msd/compounds.sqlite params=data/cc_params_msd.npz p_h=7.0 ionic_strength=0.25M p_mg=3.0 T=298.15K
compound_id	name	formula	status	dgf_prime_kJ_per_mol	uncertainty_kJ_per_mol	dgf_prime_kcal_per_mol	uncertainty_kcal_per_mol
cpd00303	Elastin	C27H48N6O6	ok	1278.123	12.359	305.479	2.954
cpd00304	Retinal	C20H28O	ok	1429.463	11.646	341.650	2.783
cpd00305	Thiamin	C12H17N4OS	ok	883.275	100007.513	211.108	23902.369
cpd00306	Xylitol	C5H12O5	ok	-295.171	2.315	-70.547	0.553
cpd00307	Cytosine	C4H5N3O	ok	199.256	3.630	47.623	0.868
cpd00308	Malonate	C3H2O4	ok	-608.091	1.343	-145.337	0.321
cpd00309	XAN	C5H4N4O2	ok	49.181	3.469	11.755	0.829
cpd00310	Carnosine	C9H14N4O3	ok	256.953	4.805	61.413	1.148
cpd00311	Guanosine	C10H13N5O5	ok	124.331	46301.058	29.716	11066.219
cpd00312	Histamine	C5H10N3	ok	552.353	4.176	132.015	0.998
cpd00313	Quercetin	C15H10O7	ok	-442.797	100017.665	-105.831	23904.796
cpd00314	D-Mannitol	C6H14O6	ok	-373.257	1.448	-89.210	0.346
cpd00315	GDP-glucose	C16H23N5O16P2	ok	-1891.930	46301.005	-452.182	11066.206
