seed_id	inchi_key	formula	reason	smiles
cpd03761	RIWKCBSDRQKWPZ-JNAYEHBVSA-F	C44H46N4O16	creation failed	C[C@]1(CCC(=O)[O-])C2=NC(=C1CC(=O)[O-])[C@]1(C)N=C(C=C3NC(=C(CCC(=O)[O-])[C@]3(C)CC(=O)[O-])C[C@]3(C)N=C(C2)C(CCC(=O)[O-])=C3CC(=O)[O-])[C@@H](CCC(=O)[O-])[C@]1(C)CC(=O)[O-]
cpd03832	FJDBIDBCPIOVPG-FVLIVPSMSA-H	C45H54N4O14	creation failed	CC1=C2[NH+]=C(C=C3N/C(=C(/C)C4=N[C@@](C)([C@@H]5N=C1[C@](C)(CCC(=O)[O-])[C@H]5CC(=O)[O-])[C@@](C)(CC(=O)[O-])[C@@H]4CCC(=O)[O-])[C@@](C)(CC(=O)[O-])[C@@H]3CCC(=O)[O-])C(C)(C)[C@@H]2CCC(=O)[O-]
cpd03833	JZOUCLWQLBVUFS-TWHJZXCLSA-G	C43H43N4O17	creation failed	C[C@]1(O)c2[nH]c(c(CCC(=O)[O-])c2CC(=O)[O-])Cc2[nH]c(c(CC(=O)[O-])c2CCC(=O)[O-])CC2=NC(=CC3=N[C@]14OC(=O)C[C@@]4(C)[C@@H]3CCC(=O)[O-])[C@@](C)(CC(=O)[O-])[C@@H]2CCC(=O)[O-]
cpd03834	WXSCTOWDVYPNMH-WBCCZRPVSA-F	C44H44N4O17	creation failed	CC(=O)C12N=C(C=C3NC(=C(CCC(=O)[O-])[C@]3(C)CC(=O)[O-])Cc3[nH]c(c(CCC(=O)[O-])c3CC(=O)[O-])CC3=NC1=C(CC(=O)[O-])[C@@]3(C)CCC(=O)[O-])[C@@H](CCC(=O)[O-])[C@]2(C)CC(=O)[O-]
cpd03839	BTODSUVDYGNBEO-NTVQSSJASA-F	C45H46N4O17	creation failed	CC(=O)C12N=C(C=C3NC(=C(CCC(=O)[O-])[C@]3(C)CC(=O)[O-])C[C@]3(C)N=C(CC4=NC1=C(CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])C(CCC(=O)[O-])=C3CC(=O)[O-])[C@@H](CCC(=O)[O-])[C@]2(C)CC(=O)[O-]
cpd03913	ZGGWTIPDUOTHRA-FVLIVPSMSA-J	C45H58N6O12	creation failed	CC1=C2[NH+]=C(C=C3N/C(=C(/C)C4=N[C@@](C)([C@@H]5N=C1[C@](C)(CCC(=O)[O-])[C@H]5CC(=O)[O-])[C@@](C)(CC(N)=O)[C@@H]4CCC(=O)[O-])[C@@](C)(CC(N)=O)[C@@H]3CCC(=O)[O-])C(C)(C)[C@@H]2CCC(=O)[O-]
cpd03914	WGXDGABAODFUIN-NVMVLMIQSA-G	C45H55CoN6O12	creation failed	CC1=C2[N]3C(=C(CCC(=O)[O-])[C@]2(C)CC(N)=O)C=C2[N+]4=C(C(C)=C5[N]6[C@H]([C@H](CC(=O)[O-])[C@@]5(C)CCC(=O)[O-])[C@]5(C)[N+](=C1[C@@H](CCC(=O)[O-])[C@]5(C)CC(N)=O)[Co-2]364)[C@@H](CCC(=O)[O-])C2(C)C
cpd03915	HLUWIPQEJAQVQE-NVMVLMIQSA-G	C45H55CoN6O12	creation failed	CC1=C2[N]3C(=C(CCC(=O)[O-])[C@]2(C)CC(N)=O)C=C2[N+]4=C(C(C)=C5[N]6[C@H]([C@H](CC(=O)[O-])[C@@]5(C)CCC(=O)[O-])[C@]5(C)[N+](=C1[C@@H](CCC(=O)[O-])[C@]5(C)CC(N)=O)[Co-3]364)[C@@H](CCC(=O)[O-])C2(C)C
cpd03951	CJDRUOGAGYHKKD-SXKXKDIKSA-N	C20H26N2O2	creation failed	CC[C@@H]1[C@@H](O)N2[C@H]3C[C@@]45c6ccccc6N(C)[C@H]4[C@@H]2C[C@H]1C3[C@H]5O
cpd03953	FVECELJHCSPHKY-UIHGVQCZSA-O	C36H52NO11	creation failed	COc1ccc(C(=O)OC2CCC3(C)C4CCC5[C@]6(O)C[C@H](O)[C@@]7(O)C(C[NH+]8CC(C)CCC8[C@@]7(C)O)[C@]6(O)C[C@@]53O[C@]24O)cc1OC
